app_name,developer_name,regulated_entity,source_date,source_url,platform,app_url,raw_app_url,package_id,source_record_no,is_demo
Tala: Fast & Secure Loan App,Self0owned,TALAZEN FINANCE INDIA PRIVATE LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Google Play Store,https://play.google.com/store/apps/details?id=in.com.tala,https://play.google.com/store/apps/details?id=in.com.tala,in.com.tala,2399,0
Chinmay Finlease Limited,Chinmay Finlease Limited,TAPSTART CAPITAL PRIVATE LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Website,https://www.chinmayfinlease.com/,https://www.chinmayfinlease.com/,,2400,0
Chinmay - Personal Loan App,Chinmay Finlease Limited,TAPSTART CAPITAL PRIVATE LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Apple App Store,https://apps.apple.com/in/app/chinmay-personal-loan-app/id6476261363,https://apps.apple.com/in/app/chinmay-personal-loan-app/id6476261363,,2401,0
Chinmay - Personal Loan App,Chinmay Finlease Limited,TAPSTART CAPITAL PRIVATE LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Google Play Store,https://play.google.com/store/apps/details?id=com.chinmay.io,https://play.google.com/store/apps/details?id=com.chinmay.io&hl=en_IN,com.chinmay.io,2402,0
Freo,MWYN Tech Private Limited,TAPSTART CAPITAL PRIVATE LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Apple App Store,https://apps.apple.com/in/app/freo-upi-insurance-loans/id1588894115,https://apps.apple.com/in/app/freo-upi-insurance-loans/id1588894115,,2403,0
Freo,MWYN Tech Private Limited,TAPSTART CAPITAL PRIVATE LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Google Play Store,https://play.google.com/store/apps/details?id=com.moneytap.bnpl.app,https://play.google.com/store/apps/details?id=com.moneytap.bnpl.app&listing=freo_oneapp_moneytap,com.moneytap.bnpl.app,2404,0
Freo,MWYN Tech Private Limited,TAPSTART CAPITAL PRIVATE LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,IndusApp,https://play.google.com/store/apps/details?id=com.moneytap.bnpl.app,https://www.indusappstore.com/apps/finance/freo/com.moneytap.bnpl.app/?page=details&id=com.moneytap.bnpl.app,com.moneytap.bnpl.app,2405,0
Freo,MWYN Tech Private Limited,TAPSTART CAPITAL PRIVATE LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Oppo App Store,oaps://mk/dt?pkg=com.moneytap.bnpl.app&style=1,oaps://mk/dt?pkg=com.moneytap.bnpl.app&style=1,,2406,0
Freo,MWYN Tech Private Limited,TAPSTART CAPITAL PRIVATE LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Vivo Market,https://play.google.com/store/apps/details?id=com.moneytap.bnpl.app,vivomarket://details?id=com.moneytap.bnpl.app,com.moneytap.bnpl.app,2407,0
Freo,MWYN Tech Private Limited,TAPSTART CAPITAL PRIVATE LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Website,https://www.freo.money,www.freo.money,,2408,0
